features_id,features,propertyType,zoning
311,"{""architectureType"": ""Modern"", ""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,Unknown
312,"{""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""OTHER"", ""garage"": true, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 7}",Single Family,R2
313,"{""architectureType"": ""Townhouse"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Built-up"", ""unitCount"": 1}",Condo,R-8
314,"{""exteriorType"": ""Marblecrete"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",Single Family,R1-A
315,"{""architectureType"": ""Contemporary"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,Unknown
316,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Tile"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,Unknown
317,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick / Stone"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,R-1-10
318,"{""garage"": true, ""garageType"": ""Garage"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,A
319,"{""architectureType"": ""Colonial"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""OTHER"", ""fireplace"": true, ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 9, ""unitCount"": 1}",Single Family,SRC
320,"{""cooling"": true, ""coolingType"": ""Evaporative"", ""exteriorType"": ""Block"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,Unknown
321,"{""exteriorType"": ""Stone"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""roofType"": ""Composition Shingle""}",Single Family,Unknown
322,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,SF7
323,"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Single Family,Unknown
324,"{""floorCount"": 2, ""foundationType"": ""OTHER"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,Unknown
325,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick / Stone"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""Masonry"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Shingle""}",Single Family,RESIDENTIAL
326,"{""architectureType"": ""Condo / Apartment"", ""garage"": true, ""garageType"": ""Garage"", ""unitCount"": 1}",Condo,Unknown
327,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Fan Cooling"", ""exteriorType"": ""Wood Shingle"", ""floorCount"": 1, ""foundationType"": ""OTHER"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""pool"": true, ""roofType"": ""Composition Shingle"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,Unknown
328,"{""architectureType"": ""Old Style"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Gas"", ""roomCount"": 9, ""unitCount"": 1}",Single Family,Unknown
329,"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Other"", ""floorCount"": 1, ""foundationType"": ""Concrete"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""pool"": true, ""roofType"": ""Built-up (Layered Asphalt)"", ""roomCount"": 4, ""unitCount"": 1, ""viewType"": ""Water""}",Condo,U/12/12 - MULTI-LUO
330,"{""architectureType"": ""Bungalow"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,BR
331,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,Unknown
332,"{""architectureType"": ""Ranch"", ""exteriorType"": ""Vinyl"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 4, ""garageType"": ""Attached"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,Unknown
333,"{""architectureType"": ""English"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,R-8
334,"{""exteriorType"": ""Stone Veneer"", ""floorCount"": 3, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Heat Pump""}",Single Family,R1
335,"{""architectureType"": ""Condo / Apartment"", ""exteriorType"": ""OTHER"", ""fireplace"": true, ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Hot Water"", ""roofType"": ""Asphalt"", ""roomCount"": 4}",Condo,B1
336,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Siding"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Baseboard"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,Unknown
337,"{""architectureType"": ""Townhouse"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick / Stone"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Tile"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,Unknown
338,"{""exteriorType"": ""OTHER"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt""}",Single Family,R2
