sales_id,lastSalePrice,lastSaleDate
281,0.0,2020-10-21T00:00:00.000Z
282,0.0,2017-02-14T00:00:00.000Z
283,248500.0,2018-06-04T00:00:00.000Z
284,860000.0,2023-09-07T00:00:00.000Z
285,65000.0,2014-09-19T00:00:00.000Z
286,0.0,2021-05-05T00:00:00.000Z
287,135000.0,2018-11-02T00:00:00.000Z
288,0.0,2022-02-02T00:00:00.000Z
289,160000.0,2021-12-09T00:00:00.000Z
290,374900.0,2018-02-27T00:00:00.000Z
291,360000.0,2013-04-18T00:00:00.000Z
292,204000.0,2008-07-24T00:00:00.000Z
293,429000.0,2015-08-28T00:00:00.000Z
294,135000.0,2018-01-17T00:00:00.000Z
295,0.0,2006-01-13T00:00:00.000Z
296,310000.0,2021-06-28T00:00:00.000Z
297,629900.0,2023-06-20T00:00:00.000Z
298,520000.0,2019-08-02T00:00:00.000Z
299,220000.0,2006-07-05T00:00:00.000Z
300,0.0,2018-09-24T00:00:00.000Z
301,1187.0,2022-06-21T00:00:00.000Z
